ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Forms,FormsWithSounds,Concepts,Consonants,ConsonantsByQuality,ConsonantSounds,Vowels,VowelsByQuality,VowelSounds,WordLength,SyllableLength,Family
abvdoceanic-Iaai,Iaai,,-20.6301,166.59,iaai1238,,232,232,205,26,26,26,17,9,18,4.142241379310345,1.706896551724138,Austronesian
abvdoceanic-Simbo,Simbo,,-8.26947,156.541,simb1256,,241,241,209,18,18,18,5,5,5,4.8921161825726145,2.3609958506224067,Austronesian
abvdoceanic-Uruava,Uruava,,-6.23314,155.573,urua1242,,250,250,187,15,15,15,7,5,7,6.396,2.924,Austronesian
abvdoceanic-Namakir,Namakir,,-16.8979,168.569,nama1268,,228,228,198,16,16,16,7,5,7,4.81140350877193,2.0219298245614037,Austronesian
abvdoceanic-Orkon,Orkon,,-16.210501,168.212109,orko1234,,191,191,181,21,21,21,11,10,11,4.476439790575916,1.8848167539267016,Austronesian
abvdoceanic-Kwamera,Kwamera,,-19.5954,169.442,kwam1252,,220,220,204,20,20,20,6,6,6,5.072727272727272,2.3454545454545452,Austronesian
abvdoceanic-Neveei,Neve'ei,,-16.2253,167.427,vinm1237,,242,242,201,23,23,23,5,5,5,5.289256198347108,2.1363636363636362,Austronesian
abvdoceanic-Aiwoo,Äiwoo,,-10.282595,166.328715,ayiw1239,,326,326,207,22,22,22,12,6,12,4.662576687116564,2.1625766871165646,Austronesian
abvdoceanic-Nanggu,Nanggu,,-10.7441,165.887,nang1262,,199,199,170,27,27,27,16,15,16,4.7537688442211055,2.1758793969849246,Austronesian
abvdoceanic-MaloSantaCruz,"Malo, Santa Cruz",,-10.6771,165.835,natu1246,,209,209,176,20,19,20,14,14,15,4.655502392344498,2.076555023923445,Austronesian
abvdoceanic-Kubokota,Kubokota,,-8.02035,156.552,ghan1242,,249,249,207,17,17,17,5,5,5,4.742971887550201,2.281124497991968,Austronesian
abvdoceanic-Luqa,Luqa,,-8.17469,156.573,lung1249,,246,246,210,16,16,16,5,5,5,4.857723577235772,2.3333333333333335,Austronesian
abvdoceanic-SivisaTitan,Sivisa Titan,,-2.18168,146.888,tita1241,,208,208,169,17,17,17,7,5,8,4.115384615384615,1.8461538461538463,Austronesian
abvdoceanic-Gumawana,Gumawana,,-9.28497,150.762,guma1254,,226,226,201,17,17,17,6,5,7,6.079646017699115,2.8761061946902653,Austronesian
abvdoceanic-WesternFijianNavosa,Western Fijian (Navosa),,-17.8355,177.657,west2519,,213,213,210,22,22,22,5,5,6,5.286384976525822,2.464788732394366,Austronesian
abvdoceanic-Tawaroga,Tawaroga,,-10.6963,162.191,kahu1241,,194,194,177,14,14,14,11,11,11,5.314432989690721,2.597938144329897,Austronesian
abvdoceanic-Ughele,Ughele,,-8.45725,157.341,ughe1237,,203,203,178,17,17,17,7,7,7,5.886699507389163,2.6157635467980294,Austronesian
abvdoceanic-Nduke,Nduke,,-7.97768,157.064,duke1237,,252,252,209,20,19,20,7,7,7,5.638888888888889,2.5515873015873014,Austronesian
abvdoceanic-Kusaghe,Kusaghe,,-8.04056,157.463,kusa1251,,189,189,178,17,17,17,7,7,7,5.851851851851852,2.708994708994709,Austronesian
abvdoceanic-MonoAlu,Mono (Alu),,-7.05102,155.76,mono1273,,213,213,182,16,16,16,9,8,9,5.516431924882629,2.6384976525821595,Austronesian
abvdoceanic-Dorio,Dori'o,,-9.11536,160.897,dori1246,,198,198,178,16,16,16,10,9,10,5.47979797979798,2.585858585858586,Austronesian
abvdoceanic-Vangunu,Vangunu,,-8.66826,157.997,vang1243,,197,197,178,18,18,18,7,7,7,5.695431472081219,2.6294416243654823,Austronesian
abvdoceanic-GhariTandai,Ghari (Tandai),,-9.4791,159.917,ghar1239,,200,200,178,18,18,18,7,7,7,5.33,2.415,Austronesian
abvdoceanic-Malango,Malango,,-9.61383,160.118,mala1484,,215,215,186,18,18,18,8,7,8,5.488372093023256,2.488372093023256,Austronesian
abvdoceanic-Mbirao,Mbirao,,-9.73716,160.52,bira1254,,207,207,176,19,19,19,7,7,7,5.618357487922705,2.497584541062802,Austronesian
abvdoceanic-Langalanga,Langalanga,,-8.81936,160.741,wala1266,,194,194,178,17,17,17,11,9,11,5.056701030927835,2.329896907216495,Austronesian
abvdoceanic-Kwai,Kwai,,-8.74742,161.023,gula1270,,189,189,176,16,16,16,8,7,8,4.576719576719577,2.126984126984127,Austronesian
abvdoceanic-LaghuSamasodu,Laghu (Samasodu),,-8.00509,158.961,lagh1246,,214,214,178,19,19,19,7,7,7,5.864485981308412,2.6682242990654204,Austronesian
abvdoceanic-NggaoPoro,Nggao (Poro),,-8.35163,159.789,gaoo1237,,199,199,172,26,26,26,8,8,8,5.351758793969849,2.4472361809045227,Austronesian
abvdoceanic-FaganiRihua,Fagani (Rihu'a),,-10.4479,161.662,faga1239,,191,191,176,15,15,15,6,6,6,5.450261780104712,2.518324607329843,Austronesian
abvdoceanic-Oroha,Oroha,,-9.7386,161.513,oroh1237,,191,191,178,11,11,11,7,7,7,5.460732984293194,2.575916230366492,Austronesian
abvdoceanic-SantaCatalina,Santa Catalina,,-10.82553,162.30467,owaa1237,,194,194,178,14,14,14,6,6,6,5.087628865979381,2.4123711340206184,Austronesian
abvdoceanic-Longgu,Longgu,,-9.75258,160.663,long1395,,234,234,203,21,21,21,7,7,7,5.038461538461538,2.324786324786325,Austronesian
abvdoceanic-Lengo,Lengo,,-9.56425,160.42,leng1259,,250,250,210,18,18,18,7,7,7,5.308,2.396,Austronesian
abvdoceanic-Mbaelelea,Mbaelelea,,-8.41627,160.721,bael1237,,195,195,177,17,17,17,9,9,9,5.0717948717948715,2.2256410256410257,Austronesian
abvdoceanic-Mbaengguu,Mbaengguu,,-8.49014,160.771,baeg1237,,208,208,178,17,17,17,9,8,9,5.134615384615385,2.2596153846153846,Austronesian
abvdoceanic-Fataleka,Fataleka,,-8.59041,160.861,fata1245,,192,192,172,18,18,18,7,7,7,5.03125,2.2447916666666665,Austronesian
abvdoceanic-BauroHaununu,Bauro (Haununu),,-10.5826,161.863,baur1252,,212,212,178,15,15,15,6,6,6,5.533018867924528,2.5754716981132075,Austronesian
abvdoceanic-Sengga,Sengga,,-7.22281,157.149,baba1268,,203,203,177,20,16,20,11,11,11,5.029556650246305,2.3054187192118225,Austronesian
abvdoceanic-MaringeLeleghia,Maringe (Leleghia),,-8.27055,159.625,chek1238,,204,204,178,24,24,24,6,6,6,5.53921568627451,2.4362745098039214,Austronesian
abvdoceanic-SaaAuluVillage,Sa'a (A'ulu Village),,-9.60258,161.467,saaa1240,,231,231,203,18,18,18,9,7,9,5.562770562770563,2.653679653679654,Austronesian
abvdoceanic-Blablanga,Blablanga,,-8.15058,159.419,blab1237,,187,187,175,22,22,22,7,7,7,5.4866310160427805,2.4385026737967914,Austronesian
abvdoceanic-ArosiTawatanaVillage,Arosi (Tawatana Village),,-10.2441,161.432,aros1241,,205,205,185,18,18,18,9,9,9,5.521951219512195,2.546341463414634,Austronesian
abvdoceanic-AreareMaasupaVillage,'Are'are (Ma'asupa Village),,-9.20699,161.158,area1240,,197,197,178,11,11,11,8,7,8,5.50761421319797,2.6243654822335025,Austronesian
abvdoceanic-Manihiki,Manihiki,,-10.03,-161.09,raka1237,,298,298,182,13,13,13,10,5,10,5.218120805369128,2.37248322147651,Austronesian
abvdoceanic-Hiw,Hiw,,-13.126367,166.584857,hiww1237,,216,216,194,23,17,23,10,10,11,4.148148148148148,1.7546296296296295,Austronesian
abvdoceanic-ApmaSuruMwerani,Apma (Suru Mwerani),,-15.8559,168.189,apma1240,,276,276,204,23,23,23,10,5,10,4.300724637681159,1.7826086956521738,Austronesian
abvdoceanic-Sasoutheasterndialect,Sa (south-eastern dialect),,-15.9534,168.228,saaa1241,,241,241,195,18,18,18,8,5,8,3.966804979253112,1.5809128630705394,Austronesian
abvdoceanic-Sowa,Sowa,,-15.82653,168.18653,sowa1244,,260,260,197,23,23,23,10,5,10,4.111538461538461,1.6538461538461537,Austronesian
abvdoceanic-SkeSeke,Ske (Seke),,-15.8839,168.197,seke1241,,239,239,196,26,25,26,6,5,6,4.01255230125523,1.502092050209205,Austronesian
abvdoceanic-Muyuw,Muyuw,,-9.195,152.731,muyu1244,,339,339,208,20,20,20,5,5,6,5.241887905604719,2.03834808259587,Austronesian
abvdoceanic-HaliaSelau,Halia (Selau),,-5.26603,154.662,hali1244,,151,151,138,17,16,17,7,6,7,5.7947019867549665,2.4701986754966887,Austronesian
abvdoceanic-Tawala,Tawala,,-10.3115,150.644,tawa1275,,195,195,192,14,14,14,6,5,7,5.615384615384615,2.7435897435897436,Austronesian
abvdoceanic-Niuafoou,Niuafo'ou,,-15.6014,-175.64,niua1240,,98,98,94,13,13,13,6,5,6,4.887755102040816,2.2857142857142856,Austronesian
abvdoceanic-Nimoa,Nimoa,,-11.2297,153.158,nimo1246,,83,83,83,38,38,38,8,8,8,6.072289156626506,2.7590361445783134,Austronesian
abvdoceanic-Lemerig,Lemerig,,-13.739697,167.420676,leme1238,,185,185,175,18,18,18,11,11,11,4.908108108108108,1.9783783783783784,Austronesian
abvdoceanic-Nanumea,Nanumea,,,,nort2844,,282,282,190,11,11,11,10,5,10,4.567375886524823,2.1134751773049647,Austronesian
abvdoceanic-Pingilapese,Pingilapese,,6.20743,160.711,ping1243,,141,141,113,13,13,13,5,5,5,4.851063829787234,1.7588652482269505,Austronesian
abvdoceanic-DaakakaWestAmbrymVanuatu,"Daa kaka (West Ambrym, Vanuatu)",,-16.2696,168.013,daka1243,,241,241,199,20,20,20,10,5,10,4.531120331950207,1.7842323651452283,Austronesian
abvdoceanic-Piva,Piva,,-6.15201,155.129,lawu1237,,202,202,199,20,19,20,8,5,8,6.3316831683168315,3.004950495049505,Austronesian
abvdoceanic-MortlockeseLukunosh,Mortlockese (Lukunosh),,5.50735,153.710778,mort1237,,212,212,207,28,15,28,22,12,22,4.202830188679245,1.849056603773585,Austronesian
abvdoceanic-Papitalai,Papitalai,,-2.06222,147.417,papi1254,,198,198,177,20,20,20,5,5,5,4.97979797979798,2.005050505050505,Austronesian
abvdoceanic-Lelepa,Lelepa,,-17.6042,168.202,lele1267,,192,192,187,15,14,15,9,5,9,4.854166666666667,1.9479166666666667,Austronesian
abvdoceanic-Roria,Roria,,-15.4048,166.843,rori1237,,160,160,159,23,23,23,6,6,6,5.175,1.89375,Austronesian
abvdoceanic-BiereboYevali,Bierebo (Yevali),,-16.6663,168.154,bier1244,,178,178,172,22,22,22,8,8,8,5.792134831460674,2.5786516853932584,Austronesian
abvdoceanic-Mpotovoro,Mpotovoro,,-15.8988,167.232,mpot1241,,177,177,174,26,26,26,6,6,6,6.135593220338983,2.446327683615819,Austronesian
abvdoceanic-AkeiPenantsiro,Akei (Penantsiro),,-15.6377,166.767,akei1237,,165,165,161,12,12,12,6,6,6,5.406060606060606,2.4909090909090907,Austronesian
abvdoceanic-Tutuba,Tutuba,,-15.580667,167.268889,tutu1241,,152,152,151,17,17,17,5,5,5,4.631578947368421,2.1447368421052633,Austronesian
abvdoceanic-Vunapu,Vunapu,,-14.8477,166.691,vuna1239,,114,114,110,15,15,15,5,5,5,5.350877192982456,2.43859649122807,Austronesian
abvdoceanic-Lakona,Lakona,,-14.29899,167.429382,lako1245,,173,173,170,24,24,24,8,7,8,4.907514450867052,2.0809248554913293,Austronesian
abvdoceanic-Lonwolwol,Lonwolwol,,-16.2286,168.016,lonw1238,,167,167,166,22,22,22,9,9,9,5.053892215568863,2.155688622754491,Austronesian
abvdoceanic-Tangoa,Tangoa,,-15.5643,166.958,tang1347,,159,159,153,20,20,20,5,5,5,5.163522012578617,2.4276729559748427,Austronesian
abvdoceanic-BieriaVowa,Bieria (Vowa),,-16.7867,168.232,bier1246,,186,186,176,23,23,23,5,5,5,5.102150537634409,2.1451612903225805,Austronesian
abvdoceanic-Koro,Koro,,-14.2943,167.467,koro1308,,173,173,169,20,20,20,9,9,9,4.705202312138728,1.9364161849710984,Austronesian
abvdoceanic-Baki,Baki,,-16.7096,168.165,baki1244,,178,178,171,20,20,20,7,7,7,5.522471910112359,2.337078651685393,Austronesian
abvdoceanic-Larevat,Larevat,,-16.1971,167.387,lare1249,,168,168,165,24,23,24,7,7,7,5.386904761904762,2.0892857142857144,Austronesian
abvdoceanic-Piamatsina,Piamatsina,,-14.9959,166.738,piam1242,,114,114,110,16,16,16,5,5,5,5.043859649122807,2.3684210526315788,Austronesian
abvdoceanic-Amblong,Amblong,,-15.5169,166.95,ambl1237,,111,111,108,24,23,24,7,7,7,5.504504504504505,2.4054054054054053,Austronesian
abvdoceanic-MaloNorth,Malo (North),,-15.6835,167.16,malo1243,,181,181,174,28,28,28,7,7,7,5.292817679558011,2.5027624309392267,Austronesian
abvdoceanic-Lorediakarkar,Lorediakarkar,,-15.334763,167.166325,lore1244,,155,155,154,31,29,31,9,9,10,4.2709677419354835,1.7096774193548387,Austronesian
abvdoceanic-NarangoNambel,Narango (Nambel),,-15.5259,167.047,nara1263,,163,163,160,18,18,18,5,5,5,4.766871165644171,1.969325153374233,Austronesian
abvdoceanic-VuresMosina,Vurës (Mosina),,-13.905677,167.451412,vure1239,,183,183,180,18,18,18,7,7,7,5.240437158469946,2.1748633879781423,Austronesian
abvdoceanic-Aore,Aore,,-15.5753,167.166,aore1237,,152,152,150,20,20,20,5,5,5,4.815789473684211,2.2434210526315788,Austronesian
abvdoceanic-WusiValui,Wusi (Valui),,-15.2786,166.696,wusi1237,,166,166,163,20,20,20,7,7,7,5.578313253012048,2.5542168674698793,Austronesian
abvdoceanic-Maii,Maii,,-16.7388,168.211,maii1238,,184,184,176,22,22,22,6,6,6,5.304347826086956,2.141304347826087,Austronesian
abvdoceanic-VeraaVatrata,Vera'a (Vatrata),,-13.892528,167.428701,vera1241,,176,176,173,25,25,25,6,6,6,5.153409090909091,2.221590909090909,Austronesian
abvdoceanic-MaewoCentralPeterara,"Maewo, Central (Peterara)",,-15.0784,168.135,cent2058,,182,182,175,21,21,21,5,5,5,5.417582417582418,2.478021978021978,Austronesian
abvdoceanic-TannaNorth,"Tanna, North",,-19.3733,169.303,nort2847,,167,167,164,28,28,28,8,8,8,5.946107784431137,2.4730538922155687,Austronesian
abvdoceanic-Tambotalo,Tambotalo,,-15.5004,167.139,tamb1253,,170,170,164,18,18,18,5,5,5,5.076470588235294,2.323529411764706,Austronesian
abvdoceanic-Marino,Marino,,-14.970047,168.057941,mari1426,,115,115,111,17,17,17,5,5,5,5.408695652173913,2.4869565217391303,Austronesian
abvdoceanic-Eton,Eton,,-17.74,168.549,eton1255,,178,178,175,15,15,15,5,5,5,4.685393258426966,1.904494382022472,Austronesian
abvdoceanic-ButmasTurButmas,Butmas-Tur (Butmas),,-15.3353,167.034,butm1237,,113,113,110,24,24,24,6,6,7,5.168141592920354,2.2035398230088497,Austronesian
abvdoceanic-Morouas,Morouas,,-15.3498,166.891,moro1286,,159,159,159,16,16,16,5,5,5,4.880503144654088,2.251572327044025,Austronesian
abvdoceanic-LamenuNul,Lamenu (Nul),,-16.7612,168.334,lewo1242,,175,175,170,15,15,15,7,7,7,5.337142857142857,2.3714285714285714,Austronesian
abvdoceanic-Lamenu,Lamenu,,-16.6098,168.171,lame1260,,179,179,174,19,19,19,8,8,8,4.988826815642458,2.206703910614525,Austronesian
abvdoceanic-Tasmate,Tasmate,,-15.0792,166.664,tasm1246,,103,103,100,16,15,16,8,7,8,5.038834951456311,2.3398058252427183,Austronesian
abvdoceanic-MwerlapMerlav,Mwerlap (Merlav),,-14.450679,168.053527,merl1237,,184,184,178,19,19,19,9,9,9,4.614130434782608,1.9021739130434783,Austronesian
abvdoceanic-NavutMatae,Navut (Matae),,-15.3169,166.798,navu1237,,164,164,162,10,10,10,5,5,5,4.7073170731707314,2.2621951219512195,Austronesian
abvdoceanic-Wailapa,Wailapa,,-15.5656,166.902,wail1242,,116,116,111,15,15,15,7,6,7,5.887931034482759,2.646551724137931,Austronesian
abvdoceanic-AmbaeEastWailengi,"Ambae, East (Wailengi)",,-15.3523,167.89,east2443,,177,177,174,20,20,20,6,6,6,5.265536723163842,2.440677966101695,Austronesian
abvdoceanic-Tiale,Tiale,,-15.2334,166.842,tial1239,,153,153,151,12,12,12,5,5,5,4.777777777777778,2.30718954248366,Austronesian
abvdoceanic-Loyop,Löyöp,,-13.542726,167.343342,leha1244,,176,176,173,21,21,21,9,9,9,4.931818181818182,1.9431818181818181,Austronesian
abvdoceanic-Mafea,Mafea,,-15.4316,167.241,mafe1237,,157,157,156,20,19,20,5,5,5,4.471337579617835,2.0445859872611467,Austronesian
abvdoceanic-PortVato,Port Vato,,-16.3083,168.046,port1286,,164,164,161,21,21,21,9,9,9,4.969512195121951,2.1341463414634148,Austronesian
abvdoceanic-AmbrymNorthFonah,"Ambrym, North (Fonah)",,-16.1741,168.14,nort2839,,173,173,167,25,25,25,9,9,9,4.606936416184971,1.9364161849710984,Austronesian
abvdoceanic-Wetamut,Wetamut,,-14.366666,167.545897,weta1242,,166,166,161,23,21,23,7,7,7,5.036144578313253,2.0120481927710845,Austronesian
abvdoceanic-Valpei,Valpei,,-14.712,166.606,valp1237,,174,174,169,23,23,23,8,8,8,5.574712643678161,2.4770114942528734,Austronesian
abvdoceanic-WhitesandsIarkei,Whitesands (Iarkei),,-19.5019,169.381,whit1269,,170,170,168,22,22,22,8,8,8,6.205882352941177,2.6411764705882352,Austronesian
abvdoceanic-AmbaeWestNgwatua,"Ambae, West (Ngwatua)",,-15.4281,167.807,west2513,,180,180,177,24,24,24,5,5,5,5.538888888888889,2.5722222222222224,Austronesian
abvdoceanic-BaetoraNavenevene,Baetora (Navenevene),,-15.2574,168.159,baet1237,,180,180,171,21,20,21,6,6,6,4.888888888888889,2.0944444444444446,Austronesian
abvdoceanic-Polonombauk,Polonombauk,,-15.4653,167.09,polo1242,,111,111,108,24,24,24,10,9,10,5.018018018018018,2.09009009009009,Austronesian
abvdoceanic-Tolomako,Tolomako,,-15.1569,166.772,tolo1255,,147,147,143,11,11,11,5,5,5,5.040816326530612,2.3401360544217686,Austronesian
abvdoceanic-Toga,Toga,,-13.334872,166.634338,loto1240,,168,168,163,20,20,20,8,8,8,5.0476190476190474,2.1726190476190474,Austronesian
abvdoceanic-Nokuku,Nokuku,,-14.8974,166.603,noku1237,,111,111,108,16,15,16,7,7,7,5.198198198198198,2.3333333333333335,Austronesian
abvdoceanic-Fortsenal,Fortsenal,,-15.4484,166.931,fort1240,,157,157,156,13,13,13,5,5,5,4.936305732484076,2.305732484076433,Austronesian
abvdoceanic-Lehali,Lehali,,-13.5043,167.332,leha1243,,180,180,175,22,22,22,7,7,8,4.477777777777778,1.7833333333333334,Austronesian
abvdoceanic-VenenTautLeviamp,V'ënen Taut (Leviamp),,-16.0903,167.239,bign1238,,176,176,169,20,20,20,8,8,8,5.1875,2.1761363636363638,Austronesian
abvdoceanic-Nume,Nume,,-14.230149,167.593474,nume1241,,175,175,172,22,21,22,7,7,7,5,2.057142857142857,Austronesian
abvdoceanic-SharkBay,Shark Bay,,-15.255284,167.138859,shar1244,,166,166,165,18,18,18,7,7,8,5.150602409638554,2.2289156626506026,Austronesian
abvdoceanic-Ulithian,Ulithian,,9.961388,139.603611,ulit1238,,318,318,126,45,33,45,10,5,11,4.726415094339623,1.7138364779874213,Austronesian
abvdoceanic-Houailou,Houaïlou,,-21.3029,165.468,ajie1238,,282,282,190,20,20,20,9,6,10,3.978723404255319,1.8617021276595744,Austronesian
abvdoceanic-Bola,Bola,,-5.55792,150.095,bola1250,,206,206,188,13,13,13,6,5,6,4.58252427184466,2.1844660194174756,Austronesian
abvdoceanic-Bulu,Bulu,,-5.06134,150.101,bulu1253,,171,171,169,17,17,17,5,5,5,5.988304093567251,2.824561403508772,Austronesian
abvdoceanic-Meramera,Meramera,,-4.97468,151.528,mera1242,,164,164,163,15,15,15,5,5,5,4.713414634146342,2.298780487804878,Austronesian
abvdoceanic-Nukeria,Nukeria,,-3.40038,154.731,nuku1259,,283,283,209,17,10,17,10,5,10,4.862190812720848,2.2614840989399294,Austronesian
abvdoceanic-NindeLawa,Ninde (Lawa),,-16.4291,167.442,labo1244,,186,186,179,29,29,29,10,9,10,5.526881720430108,2.2580645161290325,Austronesian
abvdoceanic-NatiWindua,Na:ti (Windua),,-16.468709,167.496054,nati1244,,211,211,193,37,37,37,13,10,13,5.649289099526066,2.203791469194313,Austronesian
abvdoceanic-NombotkoteUsusMelkin,Nombotkote (Usus - Melkin),,-16.4339,167.566,lete1241,,217,217,194,28,28,29,14,13,14,6.465437788018433,2.6313364055299537,Austronesian
abvdoceanic-NasarianWileventu,Nasarian (Wileven tu),,-16.3497,167.414,nasa1240,,173,173,167,35,35,35,17,15,17,6.757225433526012,2.76878612716763,Austronesian
abvdoceanic-AngavaeDixonReef,Angavae (Dixon Reef),,-16.3267,167.516,dixo1238,,190,190,173,37,37,37,16,13,16,6.521052631578947,2.5789473684210527,Austronesian
abvdoceanic-NeververLingarakSakan,Neverver (Lingarak - Sakan),,-16.1986,167.499,ling1265,,192,192,171,34,33,34,14,13,14,5.630208333333333,2.2135416666666665,Austronesian
abvdoceanic-PangkumuDatisman,Pangkumu (Datisman),,-16.2934,167.651,rere1240,,185,185,171,36,36,36,10,10,10,5.129729729729729,2.1027027027027025,Austronesian
abvdoceanic-UnuaNoferai,Unua (Noferai),,-16.2638,167.599,unua1237,,191,191,183,36,36,36,11,11,11,5.183246073298429,2.1256544502617802,Austronesian
abvdoceanic-TesmbolUsus,Tesmbol (Usus),,,,,,198,198,185,35,35,35,11,11,11,4.848484848484849,1.97979797979798,
abvdoceanic-NititaKhatbol,Nitita (Khatbol),,-16.2,167.46,niti1249,,180,180,167,44,43,45,11,11,11,5.833333333333333,2.316666666666667,Austronesian
abvdoceanic-VaoTorono,Vao (Torono),,-15.898299,167.309973,vaoo1237,,169,169,169,28,28,28,10,10,11,5.153846153846154,2.195266272189349,Austronesian
abvdoceanic-SivitiBeterbuJericho,"Siviti (Beterbu, Jericho)",,,,,,176,176,174,35,35,35,13,13,13,5.2102272727272725,2.0511363636363638,
abvdoceanic-AuluaNetimb,Aulua (Netimb),,-16.3579,167.697,aulu1238,,186,186,181,33,33,33,10,10,10,5.629032258064516,2.317204301075269,Austronesian
abvdoceanic-BurmbarFartavo,Burmbar (Fartavo),,-16.41653,167.73124,burm1263,,181,181,179,26,26,26,9,9,9,5.320441988950276,2.1215469613259668,Austronesian
abvdoceanic-NisvaiBlacksands,Nisvai (Blacksands),,-16.41306,167.785556,nisv1234,,180,180,174,31,31,31,12,12,12,5.772222222222222,2.2333333333333334,Austronesian
abvdoceanic-atarxobuGunwar,ßatarxobu (Gunwar),,,,,,172,172,170,29,29,29,15,15,15,5.075581395348837,2,
abvdoceanic-Najit,Najit,,,,,,168,168,166,34,34,34,11,11,11,4.869047619047619,1.875,
abvdoceanic-AlavasWowoWowo1,Alavas-Wowo (Wowo 1),,,,,,177,177,170,28,28,28,12,11,12,5.824858757062147,2.3333333333333335,
abvdoceanic-MbwenelangXoli,Mbwenelang (Xoli),,-16.338946,167.660849,bwen1239,,179,179,176,32,32,32,10,10,10,5.927374301675978,2.368715083798883,Austronesian
abvdoceanic-MaluaBayMarasup,Malua Bay (Marasup),,-15.9813,167.208,malu1245,,179,179,177,32,32,32,11,11,11,5.067039106145251,2.011173184357542,Austronesian
abvdoceanic-TiraxMaeB,Tirax (Mae B),,-15.9914,167.288,maee1241,,186,186,179,24,24,24,13,13,13,4.940860215053763,1.9838709677419355,Austronesian
abvdoceanic-PortSandwichLamap1,Port Sandwich (Lamap 1),,-16.4952,167.78,port1285,,176,176,172,28,28,28,10,10,10,4.982954545454546,2.0568181818181817,Austronesian
abvdoceanic-WalaWorprevB,Wala (Worprev B),,-16.00951,167.34643,urip1239,,177,177,176,30,30,30,12,12,12,4.887005649717514,2.005649717514124,Austronesian
abvdoceanic-MangapMbula,Mangap-Mbula,,-5.66965,148.041,mbul1263,,208,208,205,17,17,17,10,5,10,4.605769230769231,1.9519230769230769,Austronesian
abvdoceanic-Tami,Tami,,-6.70017,147.732,tami1290,,202,202,200,21,21,21,6,5,6,4.48019801980198,1.7920792079207921,Austronesian
abvdoceanic-MumengPatepdialect,Mumeng (Patep dialect),,-6.91988,146.639,pate1247,,169,169,162,27,24,27,14,10,15,3.455621301775148,1.3136094674556213,Austronesian
abvdoceanic-Mangseng,Mangseng,,-5.89752,150.68,mang1403,,205,205,187,16,16,16,7,6,7,4.546341463414634,1.9853658536585366,Austronesian
abvdoceanic-Bariai,Bariai,,-5.5087,148.666,bari1286,,216,216,209,14,14,14,6,5,6,4.449074074074074,1.9166666666666667,Austronesian
abvdoceanic-Label,Label,,-4.46971,152.678,labe1239,,166,166,158,14,14,14,5,5,5,4.066265060240964,1.6265060240963856,Austronesian
abvdoceanic-Ramoaaina,Ramoaaina,,-4.17306,152.451,ramo1244,,203,203,198,14,14,14,6,6,6,4.463054187192118,1.935960591133005,Austronesian
abvdoceanic-Sursurunga,Sursurunga,,-3.99078,152.768,surs1246,,205,205,201,18,18,18,6,6,6,4.11219512195122,1.6,Austronesian
abvdoceanic-Malalamai,Malalamai,,-5.77495,146.642,mala1489,,180,180,170,21,21,21,8,5,8,4.866666666666666,2.1555555555555554,Austronesian
abvdoceanic-Wab,Wab,,-5.61216,146.461,wabb1237,,165,165,157,20,18,20,9,6,10,5.066666666666666,1.915151515151515,Austronesian
abvdoceanic-Biliau,Biliau,,-5.59896,146.355,awad1244,,188,188,171,20,20,20,8,6,8,6.138297872340425,2.4361702127659575,Austronesian
abvdoceanic-Roinji,Roinji,,-5.80782,146.731,ronj1237,,190,190,179,20,20,20,7,6,7,5.989473684210527,2.557894736842105,Austronesian
abvdoceanic-BaliVitu,Bali-Vitu,,-4.89383,149.141,unea1237,,164,164,142,15,15,15,5,5,5,5.628048780487805,2.5548780487804876,Austronesian
abvdoceanic-Nenaya,Nenaya,,-5.91639,146.859,mato1252,,170,170,165,25,24,25,7,5,7,5.947058823529412,2.5294117647058822,Austronesian
abvdoceanic-Mindiri,Mindiri,,-5.5,146.15,mind1255,,191,191,175,22,22,22,13,9,13,5.952879581151833,2.277486910994764,Austronesian
abvdoceanic-Sio,Sio,,-5.96037,147.353,sioo1240,,257,257,194,18,18,18,11,6,11,5.070038910505836,2.2568093385214008,Austronesian
abvdoceanic-Malasanga,Malasanga,,-5.9401,147.058,mala1487,,180,180,169,17,16,17,9,7,9,5.338888888888889,2.3333333333333335,Austronesian
abvdoceanic-Mutu,Mutu,,-5.79405,148.014,mutu1242,,196,196,182,21,21,21,7,5,7,4.627551020408164,1.9948979591836735,Austronesian
abvdoceanic-Gitua,Gitua,,-6.0151,147.485,gitu1237,,195,195,183,24,24,24,6,5,6,5.158974358974359,2.3282051282051284,Austronesian
abvdoceanic-Arop,Arop,,-3.06984,142.12,arop1242,,172,172,166,15,15,15,10,7,10,6.017441860465116,2.63953488372093,Austronesian
abvdoceanic-Bebeli,Bebeli,,-5.63282,150.323,bebe1252,,229,229,205,16,16,16,8,7,8,5.209606986899563,2.3668122270742358,Austronesian
abvdoceanic-Irarutu,Irarutu,,-2.94438,133.586,irar1238,,212,212,199,21,17,21,7,7,7,3.9764150943396226,1.419811320754717,Austronesian
abvdoceanic-Drubea,Drubea,,-22.0947,166.531,dumb1241,,212,212,204,22,22,22,14,8,16,5.264150943396227,2.25,Austronesian
abvdoceanic-Sori,Sori,,-1.98384,146.642,sori1242,,102,102,96,19,19,19,9,5,9,4.754901960784314,2.0686274509803924,Austronesian
abvdoceanic-Lup,Lup,,-1.52891,145.075,herm1237,,96,96,91,19,19,19,11,6,11,4.572916666666667,1.96875,Austronesian
